"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1931234373","Drepanocladus polygamus","Herbarium record",1901-03-16,"1901","47.004264","-122.539846"
"1929334649","Drepanocladus polygamus","Herbarium record",1973-06-21,"1973","69.37","-152.17"
"1929887279","Drepanocladus polygamus","Herbarium record",2005-07-16,"2005","66.92269","-160.68683"
"1927833345","Drepanocladus polygamus","Herbarium record",1976-06-27,"1976","67.03","-156.9"
"1929339959","Drepanocladus polygamus","Herbarium record",2010-08-18,"2010","52.078409","-173.524856"
"1931293100","Drepanocladus polygamus","Herbarium record",1963-07-05,"1963","70.48","-157.42"
"1930008775","Drepanocladus polygamus","Herbarium record",1891-06-04,"1891","47.60621","-122.332071"
"1930221368","Drepanocladus polygamus","Herbarium record",1951-07-11,"1951","70.65","-156.92"
"1930949206","Drepanocladus polygamus","Herbarium record",1999-10-10,"1999","44.66133","-121.8564"
"1930895312","Drepanocladus polygamus","Herbarium record",1951-07-22,"1951","69.47","-151.5"
"1928396336","Drepanocladus polygamus","Herbarium record",1978-07-13,"1978","44.0167","-122.2283"
"1928763514","Drepanocladus polygamus","Herbarium record",1997-07-21,"1997","60.37","-172.65"
"1930831871","Drepanocladus polygamus","Herbarium record",1974-06-30,"1974","69.37","-152.13"
"1929903463","Drepanocladus polygamus","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1928669480","Drepanocladus polygamus","Herbarium record",1966-06-23,"1966","68.88","-161.17"
"1928590102","Drepanocladus polygamus","Herbarium record",2004-07-29,"2004","64.81783","-147.34233"
"2005532829","Drepanocladus polygamus","Herbarium record",1926-09-15,"1926","49.983333","-117.366667"
"2005532853","Drepanocladus polygamus","Herbarium record",1927-08-08,"1927","51.0","-118.183333"
"2005532832","Drepanocladus polygamus","Herbarium record",1904-05-15,"1904","47.60639","-122.33083"
"3743487340","Drepanocladus polygamus","Herbarium record",2020-08-15,"2020","43.421086","-122.121677"
"3746416331","Drepanocladus polygamus","Herbarium record",2020-08-15,"2020","43.421086","-122.121677"
"1931540477","Drepanocladus polygamus","Herbarium record",2010-07-08,"2010","49.963444","-121.480833"
"4601111347","Drepanocladus polygamus","Herbarium record",2023-10-21,"2023","42.51632","-122.27814"
"3866676319","Drepanocladus polygamus","Herbarium record",2020-10-26,"2020","42.101127","-122.454965"
"3743474341","Drepanocladus polygamus","Herbarium record",2020-10-25,"2020","42.258354","-122.526757"
"3866668317","Drepanocladus polygamus","Herbarium record",2021-07-30,"2021","42.409363","-122.421582"
"4880005667","Drepanocladus polygamus","Herbarium record",2023-06-06,"2023","44.024926","-122.855052"
"4880005746","Drepanocladus polygamus","Herbarium record",2023-06-06,"2023","44.025438","-122.856606"
"4880005761","Drepanocladus polygamus","Herbarium record",2023-10-12,"2023","42.6896","-122.15105"
"5054347459","Drepanocladus polygamus","Herbarium record",2024-10-14,"2024","42.49598","-122.22439"
"4880005357","Drepanocladus polygamus","Herbarium record",2023-10-21,"2023","42.51566","-122.27793"
"3863856311","Drepanocladus polygamus","Herbarium record",2020-05-03,"2020","42.957119","-123.709298"
"3446901329","Drepanocladus polygamus","Herbarium record",2009-09-07,"2009","43.271","-122.198"
"1987777283","Drepanocladus polygamus","Herbarium record",1974-08-17,"1974","52.35","-127.69"
"1987925399","Drepanocladus polygamus","Herbarium record",1976-07-09,"1976","49.2","-117.6"
