"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"4507500321","Ephemerum serratum","Herbarium record",2022-04-23,"2022","44.7322","-123.1503"
"1987745879","Ephemerum serratum","Herbarium record",2013-03-12,"2013","49.2298","-123.1081"
"1987809566","Ephemerum serratum","Herbarium record",2008-03-08,"2008","49.2","-123.1"
"1987880694","Ephemerum serratum","Herbarium record",2010-11-28,"2010","49.2","-123.1"
"1987770257","Ephemerum serratum","Herbarium record",2009-02-07,"2009","49.2","-123.1"
"1987915040","Ephemerum serratum","Herbarium record",2011-02-06,"2011","49.2","-123.1"
"1987772195","Ephemerum serratum","Herbarium record",2011-02-13,"2011","49.2","-123.1"
"5895655435","Ephemerum serratum","Herbarium record",1978-03-12,"1978","44.11444","-123.26417"
"1987741665","Ephemerum serratum","Herbarium record",2000-05-02,"2000","44.0","-123.2"
"1987888434","Ephemerum serratum","Herbarium record",2011-03-08,"2011","48.422","-123.383"
"3820686319","Ephemerum serratum","Herbarium record",1978-12-03,"1978","44.083163","-123.312916"
"4949554439","Ephemerum serratum","Herbarium record",2016-05-31,"2016","44.050224","-123.174892"
"4949554457","Ephemerum serratum","Herbarium record",2016-06-13,"2016","44.060903","-123.191242"
"4949554461","Ephemerum serratum","Herbarium record",2016-06-14,"2016","44.06083","-123.197223"
"4949554465","Ephemerum serratum","Herbarium record",2016-06-14,"2016","44.058524","-123.197565"
"4949554469","Ephemerum serratum","Herbarium record",2016-06-14,"2016","44.061759","-123.201409"
"4949554472","Ephemerum serratum","Herbarium record",2016-05-18,"2016","44.059811","-123.208007"
"4949554474","Ephemerum serratum","Herbarium record",2016-05-25,"2016","44.06083","-123.197223"
"4949554481","Ephemerum serratum","Herbarium record",2008-06-20,"2008","44.0502986","-123.2035116"
"4949554484","Ephemerum serratum","Herbarium record",2008-05-18,"2008","44.0754219","-123.2513182"
"4949554487","Ephemerum serratum","Herbarium record",2016-06-09,"2016","44.056524","-123.198632"
"4070497601","Ephemerum serratum","Herbarium record",2010-06-21,"2010","44.050729","-123.174152"
"4070498073","Ephemerum serratum","Herbarium record",2010-06-21,"2010","44.050663","-123.173989"
