"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988858708","Gemmabryum caespiticium","Herbarium record",1905-05-29,"1905","49.083333","-119.333333"
"1988997635","Gemmabryum caespiticium","Herbarium record",1977-07-20,"1977","56.55","-126.433333"
"1989332515","Gemmabryum caespiticium","Herbarium record",1946-08-24,"1946","63.8","-149.325"
"4444975541","Gemmabryum caespiticium","MATERIAL_SAMPLE",2010-07-21,"2010","50.63989","-121.342804"
"4445033372","Gemmabryum caespiticium","MATERIAL_SAMPLE",2013-05-18,"2013","49.05","-118.933334"
"1928636860","Gemmabryum caespiticium","Herbarium record",1951-07-08,"1951","63.48","-150.85"
"1930958630","Gemmabryum caespiticium","Herbarium record",1951-07-22,"1951","69.47","-151.5"
"1930686787","Gemmabryum caespiticium","Herbarium record",1948-09-26,"1948","42.326515","-122.875595"
"1928656625","Gemmabryum caespiticium","Herbarium record",1983-07-31,"1983","69.37","-144.55"
"1929678212","Gemmabryum caespiticium","Herbarium record",1951-08-06,"1951","68.88","-161.17"
"1929348754","Gemmabryum caespiticium","Herbarium record",1889-05-15,"1889","47.4275","-117.37917"
"1929995071","Gemmabryum caespiticium","Herbarium record",1972-07-12,"1972","70.23","-150.92"
"1929648479","Gemmabryum caespiticium","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1930406693","Gemmabryum caespiticium","Herbarium record",1948-07-13,"1948","65.591111","-163.906667"
"1929341419","Gemmabryum caespiticium","Herbarium record",1977-07-20,"1977","56.55","-126.43"
"1928443173","Gemmabryum caespiticium","Herbarium record",1948-06-26,"1948","66.5","-147.0"
"1930822937","Gemmabryum caespiticium","Herbarium record",1890-05-08,"1890","51.03","-118.2"
"1927981232","Gemmabryum caespiticium","Herbarium record",1888-06-06,"1888","47.23706","-121.178979"
"1930431382","Gemmabryum caespiticium","Herbarium record",1951-07-07,"1951","69.8","-155.38"
"1927896146","Gemmabryum caespiticium","Herbarium record",1951-08-23,"1951","69.38","-152.17"
"1930001997","Gemmabryum caespiticium","Herbarium record",1916-05-06,"1916","48.6503","-123.399086"
"1929132060","Gemmabryum caespiticium","Herbarium record",2010-08-18,"2010","52.078409","-173.524856"
"1929865932","Gemmabryum caespiticium","Herbarium record",,"1982","62.68","-142.62"
"1930582307","Gemmabryum caespiticium","Herbarium record",2010-08-18,"2010","52.078409","-173.524856"
"1930678851","Gemmabryum caespiticium","Herbarium record",1953-07-22,"1953","66.88","-162.55"
"1931191111","Gemmabryum caespiticium","Herbarium record",1948-07-13,"1948","65.591111","-163.906667"
"1927841263","Gemmabryum caespiticium","Herbarium record",1974-07-12,"1974","68.13","-145.53"
"1930051419","Gemmabryum caespiticium","Herbarium record",1998-04-02,"1998","42.2436","-123.2114"
"1930468126","Gemmabryum caespiticium","Herbarium record",,"1883","46.25333","-118.84222"
"2005530882","Gemmabryum caespiticium","Herbarium record",1919-08-10,"1919","58.522778","-129.81"
"2005530978","Gemmabryum caespiticium","Herbarium record",1910-05-15,"1910","50.666667","-120.333333"
"1804459286","Gemmabryum caespiticium","Herbarium record",1890-06-12,"1890","49.4167","-118.05"
"1804529853","Gemmabryum caespiticium","Herbarium record",1890-05-27,"1890","50.9667","-118.167"
"1804383041","Gemmabryum caespiticium","Herbarium record",1890-06-11,"1890","49.4167","-118.05"
"1804450179","Gemmabryum caespiticium","Herbarium record",1887-05-18,"1887","48.45","-123.55"
"1804403585","Gemmabryum caespiticium","Herbarium record",1890-05-27,"1890","50.9667","-118.167"
"3743479344","Gemmabryum caespiticium","Herbarium record",2020-10-25,"2020","42.266827","-122.541838"
