"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"5860896131","Grimmia trichophylla","MATERIAL_SAMPLE",2024-04-23,"2024","50.129723","-125.13167"
"2979629271","Grimmia trichophylla","MATERIAL_SAMPLE",2019-07-19,"2019","53.24","-132.164"
"4038997249","Grimmia trichophylla","MATERIAL_SAMPLE",1982-04-01,"1982","48.417","-123.333"
"1928063543","Grimmia trichophylla","Herbarium record",,"1883","45.357343","-122.606758"
"1929331827","Grimmia trichophylla","Herbarium record",1998-09-24,"1998","42.2925","-123.1181"
"1928362685","Grimmia trichophylla","Herbarium record",1905-01-02,"1905","47.66667","-122.30861"
"1929983259","Grimmia trichophylla","Herbarium record",,"1933","45.5833","-121.1667"
"1930532963","Grimmia trichophylla","Herbarium record",1925-07-21,"1925","48.5333","-123.0833"
"1927867116","Grimmia trichophylla","Herbarium record",1962-06-20,"1962","48.57417","-122.7075"
"1930464476","Grimmia trichophylla","Herbarium record",,"1939","44.942898","-123.035096"
"1929050737","Grimmia trichophylla","Herbarium record",1919-05-27,"1919","46.731274","-117.179616"
"1931330148","Grimmia trichophylla","Herbarium record",1998-07-04,"1998","42.3722","-124.3056"
"1929100391","Grimmia trichophylla","Herbarium record",1919-02-23,"1919","46.60444","-117.35806"
"1929122727","Grimmia trichophylla","Herbarium record",1898-05-02,"1898","47.0725","-122.71083"
"1927851545","Grimmia trichophylla","Herbarium record",1967-06-10,"1967","47.59444","-121.13944"
"1930392775","Grimmia trichophylla","Herbarium record",,"1921","46.8625","-117.16583"
"1928793374","Grimmia trichophylla","Herbarium record",1938-08-06,"1938","46.08028","-116.97861"
"1930312143","Grimmia trichophylla","Herbarium record",1998-06-09,"1998","42.3203","-123.1686"
"1928529147","Grimmia trichophylla","Herbarium record",1882-03-05,"1882","45.357343","-122.606758"
"1928106180","Grimmia trichophylla","Herbarium record",1914-03-20,"1914","48.11833","-123.42944"
"1929206060","Grimmia trichophylla","Herbarium record",1998-05-07,"1998","42.3061","-123.1775"
"1928947658","Grimmia trichophylla","Herbarium record",1925-07-22,"1925","48.61","-123.1475"
"1928631207","Grimmia trichophylla","Herbarium record",1998-07-18,"1998","42.2233","-122.4847"
"1928059500","Grimmia trichophylla","Herbarium record",1925-07-21,"1925","48.5333","-123.0833"
"1949822700","Grimmia trichophylla","Herbarium record",1996-10-28,"1996","42.935","-123.4689"
"1928777170","Grimmia trichophylla","Herbarium record",1898-05-02,"1898","47.0725","-122.71083"
"1929355277","Grimmia trichophylla","Herbarium record",,"1929","47.82083","-121.55389"
"1928495275","Grimmia trichophylla","Herbarium record",1905-01-02,"1905","47.66667","-122.30861"
"1928772989","Grimmia trichophylla","Herbarium record",1898-05-02,"1898","47.0725","-122.71083"
"1928303642","Grimmia trichophylla","Herbarium record",1939-05-01,"1939","44.942898","-123.035096"
"1931280215","Grimmia trichophylla","Herbarium record",1998-03-31,"1998","42.2453","-123.2019"
"1928152447","Grimmia trichophylla","Herbarium record",1912-04-28,"1912","46.84417","-123.13611"
"1930544299","Grimmia trichophylla","Herbarium record",1925-06-23,"1925","48.5333","-123.0833"
"1930148322","Grimmia trichophylla","Herbarium record",,"1914","48.11833","-123.42944"
"1930876882","Grimmia trichophylla","Herbarium record",,"1939","44.942898","-123.035096"
"1949867068","Grimmia trichophylla","Herbarium record",1996-10-28,"1996","42.93","-123.4706"
"1928306244","Grimmia trichophylla","Herbarium record",1962-06-11,"1962","46.44778","-119.83889"
"1928421488","Grimmia trichophylla","Herbarium record",,"1890","51.03","-118.2"
"1929987770","Grimmia trichophylla","Herbarium record",,"1919","46.91028","-117.07472"
"1928880053","Grimmia trichophylla","Herbarium record",1919-02-23,"1919","46.636548","-117.379346"
"1930610981","Grimmia trichophylla","Herbarium record",1963-08-24,"1963","45.724999","-121.283602"
"1930824732","Grimmia trichophylla","Herbarium record",,"1933","45.5833","-121.1667"
"1804370735","Grimmia trichophylla","Herbarium record",1887-06-08,"1887","49.15","-124.05"
"1949668457","Grimmia trichophylla","Herbarium record",1996-02-29,"1996","48.481389","-123.538611"
"3503301342","Grimmia trichophylla","Herbarium record",2020-01-25,"2020","42.219117","-122.659966"
"3743477344","Grimmia trichophylla","Herbarium record",2020-10-25,"2020","42.266827","-122.541838"
