"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1928155372","Mannia pilosa","Herbarium record",1973-06-25,"1973","69.37","-152.17"
"1931332980","Mannia pilosa","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1928647958","Mannia pilosa","Herbarium record",1951-07-23,"1951","69.47","-151.5"
"1930399749","Mannia pilosa","Herbarium record",1961-07-19,"1961","68.87","-158.37"
"1929789786","Mannia pilosa","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1930992013","Mannia pilosa","Herbarium record",1951-08-04,"1951","68.88","-161.17"
"1929412035","Mannia pilosa","Herbarium record",1973-07-26,"1973","68.75","-148.33"
"1929339106","Mannia pilosa","Herbarium record",1951-08-12,"1951","68.88","-161.17"
"1928035164","Mannia pilosa","Herbarium record",1951-08-10,"1951","68.88","-161.17"
"1928231251","Mannia pilosa","Herbarium record",1951-07-23,"1951","69.47","-151.5"
"1928289606","Mannia pilosa","Herbarium record",1951-07-03,"1951","69.8","-155.38"
"1929949835","Mannia pilosa","Herbarium record",1951-07-08,"1951","69.8","-155.38"
"5196021530","Mannia pilosa","Herbarium record",1973-07-18,"1973","68.183333","-154.15"
"5196021531","Mannia pilosa","Herbarium record",1973-06-18,"1973","67.416667","-153.716667"
"5196144527","Mannia pilosa","Herbarium record",1993-07-19,"1993","65.916667","-163.5"
"5196144528","Mannia pilosa","Herbarium record",1976-07-19,"1976","68.45","-149.3"
"5196144529","Mannia pilosa","Herbarium record",1977-07-29,"1977","70.316667","-151.966667"
"5196144530","Mannia pilosa","Herbarium record",1976-07-18,"1976","67.933333","-149.75"
"5196144531","Mannia pilosa","Herbarium record",1993-07-10,"1993","64.766667","-165.4"
"5196144532","Mannia pilosa","Herbarium record",1993-07-19,"1993","65.916667","-163.5"
"2252165898","Mannia pilosa","Herbarium record",1956-07-23,"1956","63.416667","-150.333333"
"1987766619","Mannia pilosa","Herbarium record",1986-04-14,"1986","49.0","-119.5"
"1091050921","Mannia pilosa","Herbarium record",1976-06-25,"1976","67.05","-156.9"
"1805298258","Mannia pilosa","Herbarium record",1913-07-07,"1913","51.462729","-116.334847"
