"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989166403","Oligotrichum hercynicum","Herbarium record",1944-08-14,"1944","60.766667","-148.683333"
"1929014358","Oligotrichum hercynicum","Herbarium record",1905-07-06,"1905","46.577725","-122.39241"
"1931283533","Oligotrichum hercynicum","Herbarium record",1968-06-16,"1968","52.799312","173.173307"
"1929813529","Oligotrichum hercynicum","Herbarium record",1905-07-25,"1905","46.88833","-122.68722"
"1928363205","Oligotrichum hercynicum","Herbarium record",,"1919","46.88833","-122.68722"
"1930980905","Oligotrichum hercynicum","Herbarium record",1962-09-08,"1962","49.35","-123.08"
"1930054731","Oligotrichum hercynicum","Herbarium record",1963-07-05,"1963","46.88333","-121.88333"
"1930780223","Oligotrichum hercynicum","Herbarium record",1968-06-15,"1968","52.855868","173.216179"
"1930134520","Oligotrichum hercynicum","Herbarium record",1964-10-06,"1964","46.49972","-122.37111"
"1929131657","Oligotrichum hercynicum","Herbarium record",2008-07-07,"2008","51.850028","-176.700419"
"1928534387","Oligotrichum hercynicum","Herbarium record",2008-07-07,"2008","51.850028","-176.700419"
"1929772665","Oligotrichum hercynicum","Herbarium record",1945-09-09,"1945","48.85194","-121.68389"
"1928899534","Oligotrichum hercynicum","Herbarium record",1976-07-13,"1976","67.28","-157.0"
"1927846499","Oligotrichum hercynicum","Herbarium record",1905-07-25,"1905","46.88833","-122.68722"
"1928049344","Oligotrichum hercynicum","Herbarium record",,"1905","46.88833","-122.68722"
"1929464114","Oligotrichum hercynicum","Herbarium record",1905-07-25,"1905","46.88833","-122.68722"
"1929225038","Oligotrichum hercynicum","Herbarium record",1962-08-24,"1962","45.374581","-121.696572"
"1928446517","Oligotrichum hercynicum","Herbarium record",1905-07-25,"1905","46.88833","-122.68722"
"1927900904","Oligotrichum hercynicum","Herbarium record",1969-08-31,"1969","48.889266","-121.460225"
"1930448521","Oligotrichum hercynicum","Herbarium record",1968-06-19,"1968","52.930266","173.235729"
"1928363006","Oligotrichum hercynicum","Herbarium record",1905-07-06,"1905","46.577725","-122.39241"
"2005554785","Oligotrichum hercynicum","Herbarium record",1964-10-06,"1964","46.78622","-121.735372"
"2005554711","Oligotrichum hercynicum","Herbarium record",1979-09-11,"1979","65.235556","-146.828611"
