"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988868894","Porella navicularis","Herbarium record",1968-05-25,"1968","55.433333","-133.266667"
"1988884178","Porella navicularis","Herbarium record",1968-05-27,"1968","56.916667","-122.166667"
"1989191630","Porella navicularis","Herbarium record",1932-08-25,"1932","46.433333","-122.883333"
"1988601308","Porella navicularis","Herbarium record",1937-03-07,"1937","46.816667","-122.383333"
"1930084376","Porella navicularis","Herbarium record",,"1926","48.051764","-122.177082"
"1927891037","Porella navicularis","Herbarium record",,"1929","48.051764","-122.177082"
"1927894688","Porella navicularis","Herbarium record",,"1890","47.60621","-122.332071"
"1928679677","Porella navicularis","Herbarium record",1954-11-21,"1954","45.582733","-122.248775"
"1929553360","Porella navicularis","Herbarium record",1894-12-01,"1894","45.519836","-123.110663"
"1929012046","Porella navicularis","Herbarium record",2009-05-11,"2009","49.67333","-123.15667"
"1929147659","Porella navicularis","Herbarium record",1934-04-22,"1934","48.66972","-118.655"
"1929342565","Porella navicularis","Herbarium record",1889-04-21,"1889","47.60621","-122.332071"
"1928244803","Porella navicularis","Herbarium record",1892-03-12,"1892","47.037874","-122.900695"
"1931333077","Porella navicularis","Herbarium record",1900-11-01,"1900","46.75861","-122.02972"
"1928044824","Porella navicularis","Herbarium record",1990-04-19,"1990","57.7806","-135.2167"
"1929913689","Porella navicularis","Herbarium record",2013-10-21,"2013","44.6494","-123.2989"
"1929883543","Porella navicularis","Herbarium record",1969-08-30,"1969","46.75667","-122.05472"
"1928233013","Porella navicularis","Herbarium record",1932-08-25,"1932","46.43","-122.88"
"1930481690","Porella navicularis","Herbarium record",1960-07-21,"1960","48.26667","-124.675"
"1929347773","Porella navicularis","Herbarium record",1980-04-28,"1980","49.83","-121.42"
"1930554563","Porella navicularis","Herbarium record",,"1859","48.435862","-123.411226"
"1931296444","Porella navicularis","Herbarium record",1976-11-26,"1976","47.836787","-120.179459"
"1930751397","Porella navicularis","Herbarium record",2007-04-17,"2007","49.13136","-122.50775"
"1930785632","Porella navicularis","Herbarium record",1932-08-25,"1932","46.43","-122.88"
