"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"3418360309","Rosulabryum erythroloma","Herbarium record",2005-03-20,"2005","42.994694","-124.451917"
"4022450333","Rosulabryum erythroloma","Herbarium record",2020-05-22,"2020","44.315852","-122.854829"
"1438448471","Rosulabryum erythroloma","Herbarium record",1999-03-22,"1999","43.233333","-123.945833"
"1806559325","Rosulabryum erythroloma","Herbarium record",2016-09-17,"2016","47.967889","-122.812417"
"1806559268","Rosulabryum erythroloma","Herbarium record",2016-09-04,"2016","48.064861","-124.116056"
"3863850314","Rosulabryum erythroloma","Herbarium record",2020-08-09,"2020","44.213572","-123.634517"
"3697801343","Rosulabryum erythroloma","Herbarium record",2020-07-09,"2020","44.61684","-122.105218"
"2575864748","Rosulabryum erythroloma","Herbarium record",2019-07-28,"2019","44.499732","-122.251228"
"2575864668","Rosulabryum erythroloma","Herbarium record",2019-05-08,"2019","45.237009","-123.467628"
"2575864545","Rosulabryum erythroloma","Herbarium record",2005-03-21,"2005","43.4825","-123.934722"
"3706479330","Rosulabryum erythroloma","Herbarium record",2020-04-07,"2020","42.02178","-122.623551"
"3866679323","Rosulabryum erythroloma","Herbarium record",2021-06-16,"2021","44.154612","-122.436133"
"4872706468","Rosulabryum erythroloma","Herbarium record",2022-07-22,"2022","44.153523","-123.619618"
"1987810629","Rosulabryum erythroloma","Herbarium record",1962-04-24,"1962","48.4","-123.5"
"1987731362","Rosulabryum erythroloma","Herbarium record",1977-06-23,"1977","50.2","-127.8"
"1804532377","Rosulabryum erythroloma","Herbarium record",1887-04-18,"1887","48.4333","-123.367"
"5895562445","Rosulabryum erythroloma","Herbarium record",2001-08-01,"2001","48.185836","-120.4558031"
"5895563067","Rosulabryum erythroloma","Herbarium record",1907-05-16,"1907","46.20333","-123.38194"
"1987849834","Rosulabryum erythroloma","Herbarium record",,"1977","50.2","-127.8"
"1987795969","Rosulabryum erythroloma","Herbarium record",1962-06-20,"1962","49.5","-123.9"
"2028193182","Rosulabryum erythroloma","Herbarium record",1984-08-11,"1984","50.133333","-127.75"
"1211211951","Rosulabryum erythroloma","Herbarium record",1908-06-17,"1908","48.429794","-123.370233"
"3820680862","Rosulabryum erythroloma","Herbarium record",2000-09-11,"2000","43.9497","-124.1225"
"4851114188","Rosulabryum erythroloma","Herbarium record",1969-07-10,"1969","49.04963","-123.8136"
"1261746340","Rosulabryum erythroloma","Herbarium record",2003-09-26,"2003","47.86333","-123.93138"
"5831981216","Rosulabryum erythroloma","Herbarium record",2019-07-01,"2019","44.22985","-122.22269"
"1259169109","Rosulabryum erythroloma","Herbarium record",2003-09-26,"2003","47.863333","-123.931389"
"5831954388","Rosulabryum erythroloma","Herbarium record",2019-06-30,"2019","44.2762","-122.14181"
