"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1804439373","Solenostoma sphaerocarpum","Herbarium record",1985-08-14,"1985","52.75","-132.05"
"1804501035","Solenostoma sphaerocarpum","Herbarium record",1981-07-18,"1981","58.333015","-129.5014764"
"1804489669","Solenostoma sphaerocarpum","Herbarium record",1981-07-22,"1981","58.333015","-129.5014764"
"1987885736","Solenostoma sphaerocarpum","Herbarium record",1964-11-19,"1964","54.3","-130.3"
"1987852748","Solenostoma sphaerocarpum","Herbarium record",1959-07-09,"1959","50.2","-117.9"
"1987776304","Solenostoma sphaerocarpum","Herbarium record",1981-07-18,"1981","58.3","-129.5"
"1987872233","Solenostoma sphaerocarpum","Herbarium record",1963-08-16,"1963","49.6","-125.7"
"1987719934","Solenostoma sphaerocarpum","Herbarium record",1959-05-28,"1959","50.2","-117.6"
"1987819716","Solenostoma sphaerocarpum","Herbarium record",1975-09-06,"1975","50.3","-122.4"
"1987913906","Solenostoma sphaerocarpum","Herbarium record",1984-07-28,"1984","51.4","-116.3"
"1091060319","Solenostoma sphaerocarpum","Herbarium record",1981-07-22,"1981","58.333333","-129.5"
"1091060372","Solenostoma sphaerocarpum","Herbarium record",1985-08-10,"1985","53.116667","-132.0"
"2597480010","Solenostoma sphaerocarpum","Herbarium record",1985-09-09,"1985","51.515946","-116.494873"
"1091054294","Solenostoma sphaerocarpum","Herbarium record",1968-04-02,"1968","49.25","-123.25"
"2597474156","Solenostoma sphaerocarpum","Herbarium record",1985-09-09,"1985","51.515946","-116.494873"
"2597469735","Solenostoma sphaerocarpum","Herbarium record",1985-09-09,"1985","51.515946","-116.494873"
"1091060354","Solenostoma sphaerocarpum","Herbarium record",1985-08-14,"1985","52.75","-132.05"
"1987759438","Solenostoma sphaerocarpum","Herbarium record",1959-09-08,"1959","50.4","-118.5"
"1987785619","Solenostoma sphaerocarpum","Herbarium record",1959-07-08,"1959","50.2","-117.9"
"1987792122","Solenostoma sphaerocarpum","Herbarium record",1981-07-18,"1981","58.3","-129.5"
"1987744545","Solenostoma sphaerocarpum","Herbarium record",1974-06-05,"1974","50.5","-122.7"
