"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1989239404","Sphagnum tenellum","Herbarium record",1975-07-01,"1975","52.333333","-131.45"
"1989385013","Sphagnum tenellum","Herbarium record",1967-06-21,"1967","53.25","-132.55"
"1988805988","Sphagnum tenellum","Herbarium record",1975-07-02,"1975","52.3","-131.466667"
"1988856313","Sphagnum tenellum","Herbarium record",1992-07-25,"1992","60.8","-149.166667"
"1988647476","Sphagnum tenellum","Herbarium record",1986-08-17,"1986","58.266667","-134.516667"
"1989096919","Sphagnum tenellum","Herbarium record",1968-08-04,"1968","52.666667","-131.983333"
"1989301763","Sphagnum tenellum","Herbarium record",1975-07-01,"1975","52.333333","-131.45"
"1988809598","Sphagnum tenellum","Herbarium record",1983-07-30,"1983","54.466667","-130.8"
"1989274947","Sphagnum tenellum","Herbarium record",1971-07-04,"1971","52.266667","-131.316667"
"1989522476","Sphagnum tenellum","Herbarium record",1982-05-21,"1982","49.083333","-122.833333"
"1928750023","Sphagnum tenellum","Herbarium record",2006-08-18,"2006","55.3561","-131.7286"
"1930128114","Sphagnum tenellum","Herbarium record",1997-08-02,"1997","60.97","-149.1"
"1929570801","Sphagnum tenellum","Herbarium record",2001-08-20,"2001","49.17","-123.12"
"1928093977","Sphagnum tenellum","Herbarium record",1997-08-02,"1997","60.97","-149.1"
"1929137744","Sphagnum tenellum","Herbarium record",1996-07-04,"1996","55.33","-160.5"
"1931351662","Sphagnum tenellum","Herbarium record",1998-05-06,"1998","49.25","-123.18"
"1929585305","Sphagnum tenellum","Herbarium record",1997-08-16,"1997","54.92","-162.33"
"1930340448","Sphagnum tenellum","Herbarium record",1992-07-19,"1992","58.3","-134.55"
"1928939781","Sphagnum tenellum","Herbarium record",1986-08-02,"1986","51.5","-127.72"
"1930593792","Sphagnum tenellum","Herbarium record",1982-05-21,"1982","49.08","-122.83"
"1928031093","Sphagnum tenellum","Herbarium record",1997-08-18,"1997","55.23","-162.77"
"1929038737","Sphagnum tenellum","Herbarium record",1971-07-04,"1971","52.27","-131.32"
"1928008055","Sphagnum tenellum","Herbarium record",1996-07-10,"1996","54.92","-159.25"
"1930570450","Sphagnum tenellum","Herbarium record",1979-06-26,"1979","54.23","-130.08"
"1930515766","Sphagnum tenellum","Herbarium record",1979-06-24,"1979","53.62","-129.78"
"1931224252","Sphagnum tenellum","Herbarium record",1988-07-19,"1988","52.9","173.225"
"1928419939","Sphagnum tenellum","Herbarium record",1967-06-21,"1967","53.25","-132.55"
"1930358177","Sphagnum tenellum","Herbarium record",1992-07-25,"1992","60.97","-149.13"
"2005568660","Sphagnum tenellum","Herbarium record",2001-08-20,"2001","49.166667","-122.966667"
"2005568623","Sphagnum tenellum","Herbarium record",1993-10-19,"1993","49.583333","-123.916667"
"2005568599","Sphagnum tenellum","Herbarium record",1982-05-21,"1982","49.120833","-122.973611"
"2005568640","Sphagnum tenellum","Herbarium record",1975-07-01,"1975","53.25","-132.333333"
"2005568608","Sphagnum tenellum","Herbarium record",1963-06-10,"1963","54.316603","-130.209402"
"2005568612","Sphagnum tenellum","Herbarium record",1979-06-22,"1979","50.114444","-118.305556"
"2005568669","Sphagnum tenellum","Herbarium record",1961-05-13,"1961","54.315079","-129.713668"
"2005568651","Sphagnum tenellum","Herbarium record",1998-05-06,"1998","49.120833","-122.973611"
"2005568677","Sphagnum tenellum","Herbarium record",1966-06-21,"1966","53.25","-132.333333"
"2005568742","Sphagnum tenellum","Herbarium record",1924-07-20,"1924","50.633333","-121.3"
"2005568628","Sphagnum tenellum","Herbarium record",1948-06-20,"1948","60.050833","-148.0675"
"1804429295","Sphagnum tenellum","Herbarium record",1978-06-08,"1978","50.17","-127.83"
"1804464404","Sphagnum tenellum","Herbarium record",1986-08-02,"1986","51.5","-127.72"
