"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1988915403","Sphagnum warnstorfii","Herbarium record",1973-06-28,"1973","67.35","-153.666667"
"1989115409","Sphagnum warnstorfii","Herbarium record",1974-06-24,"1974","64.875","-147.766667"
"1989037332","Sphagnum warnstorfii","Herbarium record",,"1946","69.370833","-152.138333"
"1988822792","Sphagnum warnstorfii","Herbarium record",1992-07-26,"1992","59.86667","-137.83333"
"1989149474","Sphagnum warnstorfii","Herbarium record",1977-07-19,"1977","58.25","-129.483333"
"1989151489","Sphagnum warnstorfii","Herbarium record",1971-09-20,"1971","65.166667","-147.9"
"1988924742","Sphagnum warnstorfii","Herbarium record",1966-07-28,"1966","68.2","-152.783333"
"1989048255","Sphagnum warnstorfii","Herbarium record",1973-07-08,"1973","67.883333","-155.083333"
"1989074787","Sphagnum warnstorfii","Herbarium record",1977-07-19,"1977","56.58333","-126.41667"
"1989386446","Sphagnum warnstorfii","Herbarium record",1973-07-08,"1973","67.883333","-155.083333"
"1989493723","Sphagnum warnstorfii","Herbarium record",1975-08-20,"1975","65.166667","-147.85"
"1989409945","Sphagnum warnstorfii","Herbarium record",1973-07-08,"1973","67.883333","-155.083333"
"1988790389","Sphagnum warnstorfii","Herbarium record",1983-08-30,"1983","62.833333","-164.583333"
"1988940820","Sphagnum warnstorfii","Herbarium record",1988-06-24,"1988","52.8","-119.183333"
"1989231718","Sphagnum warnstorfii","Herbarium record",1943-06-28,"1943","57.083333","-122.633333"
"1989277566","Sphagnum warnstorfii","Herbarium record",1943-07-18,"1943","58.633333","-124.666667"
"1989540580","Sphagnum warnstorfii","Herbarium record",1977-07-20,"1977","59.666667","-131.266667"
"1988739705","Sphagnum warnstorfii","Herbarium record",1977-07-21,"1977","69.033333","-148.766667"
"1988600025","Sphagnum warnstorfii","Herbarium record",1977-07-14,"1977","54.083333","-125.0"
"1989048972","Sphagnum warnstorfii","Herbarium record",1973-06-22,"1973","67.41694","-153.71667"
"1989169180","Sphagnum warnstorfii","Herbarium record",1973-07-08,"1973","67.883333","-155.083333"
"1989437032","Sphagnum warnstorfii","Herbarium record",1973-07-08,"1973","67.883333","-155.083333"
"1989325504","Sphagnum warnstorfii","Herbarium record",1976-07-23,"1976","69.416667","-148.616667"
"1989399694","Sphagnum warnstorfii","Herbarium record",1977-06-20,"1977","63.1","-145.616667"
