"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1929277682","Timmiella crassinervis","Herbarium record",1998-09-24,"1998","42.2936","-123.1189"
"1804570131","Timmiella crassinervis","Herbarium record",1970-05-12,"1970","48.6333","-123.633"
"5069353307","Timmiella crassinervis","Herbarium record",2008-05-27,"2008","47.991333","-123.608667"
"5069352307","Timmiella crassinervis","Herbarium record",2000-05-01,"2000","46.050389","-122.854"
"2365568658","Timmiella crassinervis","Herbarium record",2018-03-26,"2018","42.304528","-123.751806"
"3743472329","Timmiella crassinervis","Herbarium record",2020-05-22,"2020","44.315555","-122.85483"
"5069355334","Timmiella crassinervis","Herbarium record",1993-11-13,"1993","48.583333","-123.95"
"5069352335","Timmiella crassinervis","Herbarium record",1992-09-14,"1992","48.55","-122.883333"
"4947057507","Timmiella crassinervis","Herbarium record",2008-04-03,"2008","48.095556","-123.556389"
"4980793618","Timmiella crassinervis","Herbarium record",2024-06-30,"2024","44.274017","-124.055723"
"3986762346","Timmiella crassinervis","Herbarium record",2021-09-06,"2021","42.758423","-123.322473"
"4947057726","Timmiella crassinervis","Herbarium record",1991-07-25,"1991","48.533333","-123.95"
"3713178326","Timmiella crassinervis","Herbarium record",2021-08-21,"2021","42.727006","-123.336724"
"5054344455","Timmiella crassinervis","Herbarium record",1993-10-21,"1993","48.666667","-123.95"
"4983270836","Timmiella crassinervis","Herbarium record",2024-06-28,"2024","44.2741","-124.05878"
"4927579501","Timmiella crassinervis","Herbarium record",1993-04-07,"1993","48.633333","-123.116667"
"5054345449","Timmiella crassinervis","Herbarium record",1993-02-12,"1993","48.633333","-122.85"
"5054343455","Timmiella crassinervis","Herbarium record",1993-03-09,"1993","48.55","-123.166667"
"4983270590","Timmiella crassinervis","Herbarium record",2024-06-30,"2024","44.271183","-124.056971"
"5066473348","Timmiella crassinervis","Herbarium record",1993-05-22,"1993","48.666667","-123.2"
"4974401551","Timmiella crassinervis","Herbarium record",1993-08-11,"1993","48.6","-123.133333"
"4995087302","Timmiella crassinervis","Herbarium record",2008-04-14,"2008","42.496722","-122.81075"
"4995119000","Timmiella crassinervis","Herbarium record",1992-05-14,"1992","48.583333","-123.166667"
"4995128667","Timmiella crassinervis","Herbarium record",1991-06-21,"1991","48.583333","-123.116667"
"4977129550","Timmiella crassinervis","Herbarium record",1999-04-14,"1999","43.235056","-122.870194"
"1699976328","Timmiella crassinervis","Herbarium record",1997-05-24,"1997","42.919167","-123.458056"
"5074312306","Timmiella crassinervis","Herbarium record",1993-05-22,"1993","48.683333","-123.183333"
"5054346455","Timmiella crassinervis","Herbarium record",1993-09-09,"1993","48.7","-123.033333"
"4989377668","Timmiella crassinervis","Herbarium record",1992-09-14,"1992","48.483333","-122.883333"
"5054345450","Timmiella crassinervis","Herbarium record",1993-10-21,"1993","48.666667","-123.95"
"5054343456","Timmiella crassinervis","Herbarium record",1993-05-22,"1993","48.683333","-123.183333"
"5054347458","Timmiella crassinervis","Herbarium record",1993-05-22,"1993","48.666667","-123.2"
"5054345451","Timmiella crassinervis","Herbarium record",1992-05-11,"1992","48.516667","-123.116667"
"1987801200","Timmiella crassinervis","Herbarium record",1982-04-29,"1982","48.5","-123.5"
"1987926991","Timmiella crassinervis","Herbarium record",1999-05-14,"1999","48.7","-123.7"
"1987877460","Timmiella crassinervis","Herbarium record",1992-05-11,"1992","48.5","-123.1"
"1987726347","Timmiella crassinervis","Herbarium record",1992-09-14,"1992","48.5","-122.9"
"1987808095","Timmiella crassinervis","Herbarium record",1997-11-06,"1997","46.449","-121.83"
"1987723821","Timmiella crassinervis","Herbarium record",1969-06-01,"1969","48.5","-123.5"
"4513892364","Timmiella crassinervis","Herbarium record",1983-01-31,"1983","48.35","-123.7"
"1987869918","Timmiella crassinervis","Herbarium record",1961-05-03,"1961","48.4","-123.8"
"1987784956","Timmiella crassinervis","Herbarium record",2003-11-03,"2003","49.0","-123.7"
"1987835061","Timmiella crassinervis","Herbarium record",2016-04-10,"2016","49.52","-124.59"
"1987931702","Timmiella crassinervis","Herbarium record",1996-02-29,"1996","48.5","-123.5"
"1987823397","Timmiella crassinervis","Herbarium record",2016-04-05,"2016","48.3986","-123.3037"
"1987841467","Timmiella crassinervis","Herbarium record",1998-04-15,"1998","42.33","-122.442"
"1987908537","Timmiella crassinervis","Herbarium record",1962-05-09,"1962","48.8","-123.5"
"1987917705","Timmiella crassinervis","Herbarium record",1969-06-01,"1969","48.5","-123.5"
"1987933888","Timmiella crassinervis","Herbarium record",1992-09-14,"1992","48.6","-122.9"
"1987858729","Timmiella crassinervis","Herbarium record",1996-06-25,"1996","48.42","-123.59"
"1987729178","Timmiella crassinervis","Herbarium record",1992-09-13,"1992","48.6","-122.9"
"1987900084","Timmiella crassinervis","Herbarium record",2010-02-06,"2010","49.1","-117.7"
"1987721544","Timmiella crassinervis","Herbarium record",1969-06-01,"1969","48.5","-123.5"
"5074314307","Timmiella crassinervis","Herbarium record",2007-04-25,"2007","42.498361","-122.796361"
"5074315306","Timmiella crassinervis","Herbarium record",1992-10-23,"1992","48.516667","-123.116667"
"4856533229","Timmiella crassinervis","Herbarium record",1999-06-28,"1999","48.583333","-120.483333"
"2252191794","Timmiella crassinervis","Herbarium record",1969-05-27,"1969","48.483333","-123.55"
"5895553280","Timmiella crassinervis","Herbarium record",1961-06-03,"1961","48.783333","-123.15"
"5895558415","Timmiella crassinervis","Herbarium record",1905-05-20,"1905","47.603385","-122.33551"
"5895573210","Timmiella crassinervis","Herbarium record",1932-10-30,"1932","47.554746","-122.253239"
"5895588632","Timmiella crassinervis","Herbarium record",1959-08-16,"1959","42.654165","-123.549578"
"5895592706","Timmiella crassinervis","Herbarium record",,"1892","47.60639","-122.33083"
"5895598854","Timmiella crassinervis","Herbarium record",1980-02-14,"1980","44.05","-123.066667"
"5895603241","Timmiella crassinervis","Herbarium record",1932-04-30,"1932","47.555725","-122.25134"
"5895629891","Timmiella crassinervis","Herbarium record",1965-04-04,"1965","46.80306","-122.41333"
"5895671735","Timmiella crassinervis","Herbarium record",1967-06-10,"1967","48.436946","-122.604332"
"5895686125","Timmiella crassinervis","Herbarium record",1905-05-20,"1905","47.603385","-122.33551"
"1987933689","Timmiella crassinervis","Herbarium record",1993-02-12,"1993","48.6","-122.9"
"1987814039","Timmiella crassinervis","Herbarium record",1970-05-12,"1970","48.6","-123.6"
"1987894401","Timmiella crassinervis","Herbarium record",1969-02-26,"1969","50.22","-124.69"
"1987764787","Timmiella crassinervis","Herbarium record",1968-07-26,"1968","48.81","-123.5"
"1987900755","Timmiella crassinervis","Herbarium record",1966-05-06,"1966","49.25","-123.12"
"1987744738","Timmiella crassinervis","Herbarium record",1961-06-02,"1961","48.75","-123.22"
"1987881496","Timmiella crassinervis","Herbarium record",1969-06-01,"1969","48.5","-123.5"
"1987876970","Timmiella crassinervis","Herbarium record",1962-06-04,"1962","48.8","-123.3"
"1987842987","Timmiella crassinervis","Herbarium record",1984-04-29,"1984","49.6","-121.4"
"1987803376","Timmiella crassinervis","Herbarium record",2010-01-28,"2010","49.18","-121.92"
"1987731113","Timmiella crassinervis","Herbarium record",2008-02-19,"2008","45.7","-121.668"
"1987821479","Timmiella crassinervis","Herbarium record",1965-10-16,"1965","49.25","-123.12"
"1987788921","Timmiella crassinervis","Herbarium record",1969-04-13,"1969","45.64","-122.66"
"1987759495","Timmiella crassinervis","Herbarium record",1962-06-03,"1962","48.8","-123.3"
"1987745141","Timmiella crassinervis","Herbarium record",1967-04-01,"1967","48.21","-122.67"
"1987920132","Timmiella crassinervis","Herbarium record",1969-06-01,"1969","48.5","-123.5"
"1987875859","Timmiella crassinervis","Herbarium record",1990-04-03,"1990","49.4","-121.6"
"1987883683","Timmiella crassinervis","Herbarium record",1968-04-12,"1968","46.19","-122.68"
"1987932285","Timmiella crassinervis","Herbarium record",1964-06-05,"1964","53.3","-132.0"
"1987875661","Timmiella crassinervis","Herbarium record",1997-11-06,"1997","46.449","-121.83"
"1987854673","Timmiella crassinervis","Herbarium record",1961-11-12,"1961","49.3","-122.9"
"1987795480","Timmiella crassinervis","Herbarium record",1968-03-25,"1968","49.1","-122.1"
"1987889274","Timmiella crassinervis","Herbarium record",1970-05-14,"1970","49.2","-124.0"
"1987804558","Timmiella crassinervis","Herbarium record",1992-05-07,"1992","48.5","-123.1"
"1987777144","Timmiella crassinervis","Herbarium record",1963-05-09,"1963","49.75","-126.49"
"1987771242","Timmiella crassinervis","Herbarium record",1971-05-11,"1971","48.4","-123.5"
"1987893395","Timmiella crassinervis","Herbarium record",1967-03-25,"1967","48.21","-122.67"
"1987922509","Timmiella crassinervis","Herbarium record",2010-02-06,"2010","49.1","-117.7"
"1987911715","Timmiella crassinervis","Herbarium record",1974-04-16,"1974","48.9","-123.4"
"1987910962","Timmiella crassinervis","Herbarium record",1964-05-31,"1964","48.01","-122.46"
"1987858869","Timmiella crassinervis","Herbarium record",2016-04-10,"2016","49.52","-124.59"
"1987872475","Timmiella crassinervis","Herbarium record",1991-07-25,"1991","48.5","-122.8"
"1987904075","Timmiella crassinervis","Herbarium record",1985-03-02,"1985","49.3","-121.7"
"1987860436","Timmiella crassinervis","Herbarium record",1993-10-21,"1993","48.7","-124.0"
"1987840399","Timmiella crassinervis","Herbarium record",1965-03-01,"1965","49.32","-123.07"
"1987801647","Timmiella crassinervis","Herbarium record",2002-04-12,"2002","45.7","-121.4"
"1987727205","Timmiella crassinervis","Herbarium record",1969-06-01,"1969","48.5","-123.5"
"1987901944","Timmiella crassinervis","Herbarium record",1964-05-19,"1964","46.56","-123.6"
"1987768280","Timmiella crassinervis","Herbarium record",2000-05-01,"2000","46.7","-122.9"
"1987885810","Timmiella crassinervis","Herbarium record",1968-03-10,"1968","49.1","-122.3"
"1987916381","Timmiella crassinervis","Herbarium record",1969-05-27,"1969","48.5","-123.5"
"1987920827","Timmiella crassinervis","Herbarium record",1969-05-23,"1969","48.5","-123.4"
"1987902341","Timmiella crassinervis","Herbarium record",1965-04-16,"1965","49.75","-126.49"
"1987888128","Timmiella crassinervis","Herbarium record",1991-07-25,"1991","48.5","-124.0"
"1987882487","Timmiella crassinervis","Herbarium record",2008-04-03,"2008","48.1","-123.56"
"1987868264","Timmiella crassinervis","Herbarium record",1961-04-24,"1961","49.3","-124.9"
"1987865849","Timmiella crassinervis","Herbarium record",1969-05-27,"1969","48.5","-123.5"
"1987883061","Timmiella crassinervis","Herbarium record",1968-03-13,"1968","49.75","-126.49"
"1987861030","Timmiella crassinervis","Herbarium record",1970-05-13,"1970","48.5","-123.5"
"1987822996","Timmiella crassinervis","Herbarium record",1981-02-07,"1981","49.2","-122.3"
"1987754330","Timmiella crassinervis","Herbarium record",1986-04-22,"1986","49.6","-121.0"
"1987913484","Timmiella crassinervis","Herbarium record",2008-05-27,"2008","47.991","-123.609"
"1987905552","Timmiella crassinervis","Herbarium record",1970-11-15,"1970","49.17","-121.95"
"2028176161","Timmiella crassinervis","Herbarium record",1982-04-29,"1982","48.5","-123.5"
"2028155669","Timmiella crassinervis","Herbarium record",1982-04-24,"1982","48.5","-122.333333"
"3820672592","Timmiella crassinervis","Herbarium record",1976-04-16,"1976","44.4095","-123.3248"
"3820672587","Timmiella crassinervis","Herbarium record",2001-08-06,"2001","44.9866","-122.1645"
"3820673399","Timmiella crassinervis","Herbarium record",1981-04-08,"1981","45.6853","-121.30588"
"3820673789","Timmiella crassinervis","Herbarium record",1998-08-28,"1998","42.223889","-123.144444"
"3820673828","Timmiella crassinervis","Herbarium record",1978-03-21,"1978","42.558333","-124.05"
"3820674257","Timmiella crassinervis","Herbarium record",2001-03-02,"2001","43.7831","-123.3758"
"3820675735","Timmiella crassinervis","Herbarium record",2000-09-06,"2000","43.3379","-123.5712"
"3820676812","Timmiella crassinervis","Herbarium record",2000-09-12,"2000","43.4369","-122.5241"
"3820677136","Timmiella crassinervis","Herbarium record",1997-07-11,"1997","42.100376","-123.410885"
"3820677146","Timmiella crassinervis","Herbarium record",1997-06-04,"1997","42.100376","-123.410885"
"3820681130","Timmiella crassinervis","Herbarium record",2000-08-28,"2000","42.9927","-123.6348"
"3820686329","Timmiella crassinervis","Herbarium record",1995-05-23,"1995","42.22311","-122.981401"
"3820686829","Timmiella crassinervis","Herbarium record",2002-09-16,"2002","42.5248","-123.5971"
"5053665304","Timmiella crassinervis","Herbarium record",,"2002","44.933333","-123.033333"
"3820688922","Timmiella crassinervis","Herbarium record",1996-08-15,"1996","42.591868","-122.167478"
"3820693428","Timmiella crassinervis","Herbarium record",1998-06-09,"1998","42.302222","-123.178611"
"3820693576","Timmiella crassinervis","Herbarium record",1995-05-23,"1995","42.223185","-122.976494"
"3820694499","Timmiella crassinervis","Herbarium record",1976-04-17,"1976","44.5542","-123.2725"
"3820694785","Timmiella crassinervis","Herbarium record",1998-08-26,"1998","42.233889","-123.129444"
"3820694925","Timmiella crassinervis","Herbarium record",1998-06-11,"1998","42.272778","-123.127778"
"3820695165","Timmiella crassinervis","Herbarium record",1998-03-03,"1998","42.243889","-123.2025"
"3436782249","Timmiella crassinervis","Herbarium record",1888-05-22,"1888","48.42944","-123.36366"
"4851108015","Timmiella crassinervis","Herbarium record",1882-04-25,"1882","45.715","-121.46333"
"4851113843","Timmiella crassinervis","Herbarium record",1888-03-22,"1888","48.43831","-123.36239"
"4851117394","Timmiella crassinervis","Herbarium record",1882-04-25,"1882","45.715","-121.46333"
"4851108907","Timmiella crassinervis","Herbarium record",1883-08-26,"1883","45.715","-121.46333"
"4851104442","Timmiella crassinervis","Herbarium record",2008-03-25,"2008","45.699361","-121.667"
"4070498010","Timmiella crassinervis","Herbarium record",2014-11-18,"2014","45.4775","-122.7575"
"4070498878","Timmiella crassinervis","Herbarium record",2014-06-30,"2014","45.446667","-122.877222"
"4070499027","Timmiella crassinervis","Herbarium record",1981-04-08,"1981","45.685948","-121.302539"
"4070499290","Timmiella crassinervis","Herbarium record",2014-06-25,"2014","45.496944","-122.841389"
"4070499432","Timmiella crassinervis","Herbarium record",2014-05-12,"2014","45.618056","-122.424167"
"4068399518","Timmiella crassinervis","Herbarium record",1998-09-24,"1998","42.293611","-123.118889"
"4068400196","Timmiella crassinervis","Herbarium record",1998-03-03,"1998","42.243889","-123.2025"
"4068400572","Timmiella crassinervis","Herbarium record",1998-06-11,"1998","42.274444","-123.123889"
"2234796937","Timmiella crassinervis","iNat record",2019-03-26,"2019","48.81653","-123.234222"
"5839834652","Timmiella crassinervis","iNat record",2025-09-26,"2025","50.205437","-124.98162"
"4080835720","Timmiella crassinervis","iNat record",2023-04-07,"2023","48.465068","-123.319812"
"4954721572","Timmiella crassinervis","iNat record",2022-04-08,"2022","48.899956","-123.40688"
"5140188169","Timmiella crassinervis","iNat record",2024-12-29,"2024","48.653749","-123.729244"
"3743099983","Timmiella crassinervis","iNat record",2022-03-13,"2022","48.650894","-123.73954"
"4954498546","Timmiella crassinervis","iNat record",2022-04-17,"2022","48.861273","-123.363385"
"3712512501","Timmiella crassinervis","iNat record",2022-02-26,"2022","48.384803","-123.481452"
"3759581153","Timmiella crassinervis","iNat record",2022-03-27,"2022","48.871867","-123.312158"
"4954468028","Timmiella crassinervis","iNat record",2023-04-29,"2023","48.46494","-123.374433"
"4954532248","Timmiella crassinervis","iNat record",2017-12-31,"2017","48.871884","-123.311889"
"3743193014","Timmiella crassinervis","iNat record",2022-03-13,"2022","48.647469","-123.74243"
"3499430276","Timmiella crassinervis","iNat record",2022-02-17,"2022","48.386728","-123.487345"
"5087422019","Timmiella crassinervis","iNat record",2025-03-02,"2025","48.690461","-122.291559"
"4039472685","Timmiella crassinervis","iNat record",2023-02-20,"2023","48.642553","-123.629853"
"4954421026","Timmiella crassinervis","iNat record",2024-05-12,"2024","49.18129","-121.923904"
"5088126823","Timmiella crassinervis","iNat record",2025-03-13,"2025","48.423811","-123.418295"
"4596877801","Timmiella crassinervis","iNat record",2024-03-07,"2024","49.058785","-122.219742"
"4046381257","Timmiella crassinervis","iNat record",2023-02-21,"2023","48.827534","-123.589429"
"4954269086","Timmiella crassinervis","iNat record",2024-01-02,"2024","48.827752","-123.626755"
"3499427640","Timmiella crassinervis","iNat record",2022-02-06,"2022","49.187924","-124.002067"
"5133899149","Timmiella crassinervis","iNat record",2025-04-01,"2025","49.246716","-122.928543"
"3773566262","Timmiella crassinervis","iNat record",2022-05-10,"2022","50.045417","-124.956275"
"5166949806","Timmiella crassinervis","iNat record",2025-05-10,"2025","49.370741","-121.399792"
"4954417480","Timmiella crassinervis","iNat record",2023-05-04,"2023","48.774521","-123.372414"
"4431019177","Timmiella crassinervis","iNat record",2023-10-08,"2023","48.763065","-123.796547"
"4111696087","Timmiella crassinervis","iNat record",2023-04-29,"2023","48.321251","-123.652516"
"3759523128","Timmiella crassinervis","iNat record",2022-03-27,"2022","48.871505","-123.311422"
"4954679592","Timmiella crassinervis","iNat record",2021-11-23,"2021","49.357521","-124.731441"
"4867972773","Timmiella crassinervis","iNat record",2024-05-12,"2024","49.070212","-123.94838"
"4954238174","Timmiella crassinervis","iNat record",2023-05-06,"2023","49.459225","-124.286514"
"5063669450","Timmiella crassinervis","iNat record",2025-01-29,"2025","48.342609","-123.54908"
"4535928285","Timmiella crassinervis","iNat record",2024-03-01,"2024","49.517189","-124.599534"
"4954744539","Timmiella crassinervis","iNat record",2022-04-15,"2022","48.866103","-123.368898"
"3747278438","Timmiella crassinervis","iNat record",2021-10-23,"2021","48.899225","-123.407432"
"4954471641","Timmiella crassinervis","iNat record",2024-03-07,"2024","49.059752","-122.219587"
"5216701640","Timmiella crassinervis","iNat record",2025-07-03,"2025","49.182829","-121.922006"
"4954623356","Timmiella crassinervis","iNat record",2023-12-27,"2023","48.45393","-123.482179"
