"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1928561967","Tritomaria exsecta","Herbarium record",1973-06-24,"1973","69.37","-152.17"
"1930192513","Tritomaria exsecta","Herbarium record",1951-08-26,"1951","69.38","-152.17"
"1930520698","Tritomaria exsecta","Herbarium record",1890-05-12,"1890","51.03","-118.2"
"1928644572","Tritomaria exsecta","Herbarium record",1890-05-05,"1890","51.03","-118.2"
"1929581983","Tritomaria exsecta","Herbarium record",1951-08-26,"1951","69.38","-152.17"
"1928179317","Tritomaria exsecta","Herbarium record",1951-08-26,"1951","69.38","-152.17"
"1930619049","Tritomaria exsecta","Herbarium record",1951-08-26,"1951","69.38","-152.17"
"1987847708","Tritomaria exsecta","Herbarium record",1974-07-26,"1974","49.4","-122.6"
"1987720521","Tritomaria exsecta","Herbarium record",1980-07-26,"1980","52.8","-132.0"
"1987876458","Tritomaria exsecta","Herbarium record",2001-06-08,"2001","61.4","-149.4"
"1987786025","Tritomaria exsecta","Herbarium record",2002-08-13,"2002","47.75","-123.75"
"1987861410","Tritomaria exsecta","Herbarium record",2007-05-16,"2007","53.9","-122.8"
"5196229326","Tritomaria exsecta","Herbarium record",2016-03-26,"2016","56.664812","-132.342811"
"1987927096","Tritomaria exsecta","Herbarium record",1996-07-06,"1996","54.9","-159.3"
"1987829175","Tritomaria exsecta","Herbarium record",2005-08-19,"2005","51.79","-177.93"
"1987846841","Tritomaria exsecta","Herbarium record",2013-09-28,"2013","51.83","-120.05"
"1987743417","Tritomaria exsecta","Herbarium record",2000-08-14,"2000","52.9","173.2"
"1987809641","Tritomaria exsecta","Herbarium record",1991-08-05,"1991","60.69","-150.69"
"1987919636","Tritomaria exsecta","Herbarium record",1974-04-07,"1974","49.2","-122.6"
"1987821905","Tritomaria exsecta","Herbarium record",2007-05-17,"2007","53.9","-122.8"
"1987881904","Tritomaria exsecta","Herbarium record",2013-05-19,"2013","51.64","-120.03"
"1987809759","Tritomaria exsecta","Herbarium record",1996-07-25,"1996","54.9","-159.3"
"1987855159","Tritomaria exsecta","Herbarium record",1974-07-26,"1974","49.4","-122.6"
"1987764460","Tritomaria exsecta","Herbarium record",1975-06-01,"1975","49.4","-122.0"
"1987876380","Tritomaria exsecta","Herbarium record",1995-07-14,"1995","54.9","-159.3"
"1987838706","Tritomaria exsecta","Herbarium record",1996-07-12,"1996","54.9","-159.3"
"2028246222","Tritomaria exsecta","Herbarium record",2007-05-16,"2007","53.883333","-122.8"
"2028288187","Tritomaria exsecta","Herbarium record",1977-08-27,"1977","53.25","-119.45"
"3820691929","Tritomaria exsecta","Herbarium record",2011-09-04,"2011","44.14635","-118.42972"
"5087765999","Tritomaria exsecta","iNat record",2025-03-07,"2025","49.181725","-121.739075"
"2028180730","Tritomaria exsecta","Herbarium record",1996-07-12,"1996","54.916667","-159.25"
