"gbifID","species","basisOfRecord","date","year","decimalLatitude","decimalLongitude"
"1931157584","Ulota barclayi","Herbarium record",1936-01-21,"1936","57.053056","-135.33"
"1949853874","Ulota barclayi","Herbarium record",1996-08-02,"1996","47.47","-123.83"
"1987914748","Ulota barclayi","Herbarium record",2007-05-31,"2007","54.2222","-129.9755"
"1987781639","Ulota barclayi","Herbarium record",2011-07-04,"2011","54.8561","-163.41"
"1987757942","Ulota barclayi","Herbarium record",2011-08-22,"2011","54.8552","-163.4132"
"1987842658","Ulota barclayi","Herbarium record",1974-05-07,"1974","48.8","-125.1"
"1987922211","Ulota barclayi","Herbarium record",2011-07-07,"2011","54.8607","-163.4235"
"1987913998","Ulota barclayi","Herbarium record",2011-08-23,"2011","54.8683","-163.4135"
"1987895163","Ulota barclayi","Herbarium record",1968-08-03,"1968","52.8","-132.1"
"1987874780","Ulota barclayi","Herbarium record",1998-08-25,"1998","56.0","-159.8"
"3864919254","Ulota barclayi","Herbarium record",1946-06-02,"1946","59.543462","-139.747672"
"3864919966","Ulota barclayi","Herbarium record",1945-07-19,"1945","59.543462","-139.747672"
"1987780018","Ulota barclayi","Herbarium record",2011-07-04,"2011","54.8561","-163.41"
"1987833500","Ulota barclayi","Herbarium record",2011-08-23,"2011","54.8683","-163.4135"
"1987827989","Ulota barclayi","Herbarium record",1996-07-07,"1996","54.9","-159.3"
"1987914034","Ulota barclayi","Herbarium record",2007-05-30,"2007","54.2828","-129.9748"
"1987737204","Ulota barclayi","Herbarium record",1986-08-02,"1986","51.6","-127.7"
"1987889357","Ulota barclayi","Herbarium record",2011-06-19,"2011","58.416","-134.544"
"1258187128","Ulota barclayi","Herbarium record",2015-07-04,"2015","60.1945","-149.5963"
